Datum,Temperatur,Feuchte
Tue Feb  1 14:13:50 2022,21.5,43.0
Tue Feb  1 14:13:51 2022,21.5,42.0
Tue Feb  1 14:13:53 2022,21.5,43.0
Tue Feb  1 14:13:55 2022,21.5,42.0
Tue Feb  1 14:13:57 2022,21.5,43.0
Tue Feb  1 14:13:59 2022,21.6,42.0
Tue Feb  1 14:14:02 2022,21.6,42.0
Tue Feb  1 14:14:04 2022,21.6,42.0
Tue Feb  1 14:14:06 2022,21.6,42.0
Tue Feb  1 14:14:08 2022,21.6,42.0
Tue Feb  1 14:14:10 2022,21.6,42.0
Tue Feb  1 14:14:12 2022,21.7,42.0
Tue Feb  1 14:14:14 2022,21.7,42.0
Tue Feb  1 14:14:16 2022,21.7,42.0
Tue Feb  1 14:14:18 2022,21.6,42.0
Tue Feb  1 14:14:20 2022,21.6,42.0
Tue Feb  1 14:14:22 2022,21.7,42.0
Tue Feb  1 14:14:24 2022,21.6,42.0
Tue Feb  1 14:14:26 2022,21.7,42.0
Tue Feb  1 14:14:28 2022,21.7,42.0
Tue Feb  1 14:14:30 2022,21.7,42.0
Tue Feb  1 14:14:32 2022,21.7,42.0
Tue Feb  1 14:14:34 2022,21.7,42.0
Tue Feb  1 14:14:36 2022,21.7,42.0
Tue Feb  1 14:14:38 2022,21.7,42.0
Tue Feb  1 14:14:40 2022,21.7,42.0
Tue Feb  1 14:14:42 2022,21.7,42.0
Tue Feb  1 14:14:44 2022,21.8,42.0
Tue Feb  1 14:14:46 2022,21.8,42.0
Tue Feb  1 14:14:48 2022,21.8,41.0
Tue Feb  1 14:14:50 2022,21.8,42.0
Tue Feb  1 14:14:52 2022,21.8,41.0
Tue Feb  1 14:14:54 2022,21.8,41.0
Tue Feb  1 14:14:56 2022,21.8,41.0
Tue Feb  1 14:14:58 2022,21.8,41.0
Tue Feb  1 14:15:00 2022,21.8,41.0
Tue Feb  1 14:15:02 2022,21.8,41.0
Tue Feb  1 14:15:04 2022,21.8,41.0
Tue Feb  1 14:15:06 2022,21.8,41.0
Tue Feb  1 14:15:08 2022,21.8,41.0
Tue Feb  1 14:15:10 2022,21.8,41.0
Tue Feb  1 14:15:12 2022,21.8,41.0
Tue Feb  1 14:15:14 2022,21.8,41.0
Tue Feb  1 14:15:16 2022,21.8,41.0
Tue Feb  1 14:15:18 2022,21.8,41.0
Tue Feb  1 14:15:21 2022,21.8,41.0
Tue Feb  1 14:15:23 2022,21.8,41.0
Tue Feb  1 14:15:25 2022,21.8,41.0
Tue Feb  1 14:15:27 2022,21.8,41.0
Tue Feb  1 14:15:29 2022,21.8,41.0
Tue Feb  1 14:15:31 2022,21.8,41.0
Tue Feb  1 14:15:33 2022,21.9,41.0
Tue Feb  1 14:15:35 2022,21.9,41.0
Tue Feb  1 14:15:37 2022,21.8,41.0
Tue Feb  1 14:15:39 2022,21.9,41.0
Tue Feb  1 14:15:41 2022,21.9,41.0
Tue Feb  1 14:15:43 2022,21.9,41.0
Tue Feb  1 14:15:45 2022,21.8,41.0
Tue Feb  1 14:15:47 2022,21.9,41.0
Tue Feb  1 14:15:49 2022,21.9,41.0
Tue Feb  1 14:15:51 2022,21.9,41.0
Tue Feb  1 14:15:53 2022,21.9,41.0
Tue Feb  1 14:15:55 2022,21.9,41.0
Tue Feb  1 14:15:57 2022,21.9,41.0
Tue Feb  1 14:15:59 2022,21.9,41.0
Tue Feb  1 14:16:01 2022,21.9,41.0
Tue Feb  1 14:16:03 2022,21.9,41.0
Tue Feb  1 14:16:05 2022,21.9,40.0
Tue Feb  1 14:16:07 2022,21.9,41.0
Tue Feb  1 14:16:09 2022,21.9,40.0
Tue Feb  1 14:16:11 2022,21.9,40.0
Tue Feb  1 14:16:13 2022,21.9,40.0
Tue Feb  1 14:16:15 2022,21.9,40.0
Tue Feb  1 14:16:17 2022,21.9,40.0
Tue Feb  1 14:16:19 2022,22.0,41.0
Tue Feb  1 14:16:21 2022,22.0,41.0
Tue Feb  1 14:16:23 2022,21.9,40.0
Tue Feb  1 14:16:25 2022,21.9,40.0
Tue Feb  1 14:16:27 2022,22.0,41.0
Tue Feb  1 14:16:29 2022,22.0,41.0
Tue Feb  1 14:16:31 2022,22.0,41.0
Tue Feb  1 14:16:33 2022,21.9,40.0
Tue Feb  1 14:16:35 2022,22.0,41.0
Tue Feb  1 14:16:37 2022,21.9,40.0
Tue Feb  1 14:16:40 2022,21.9,40.0
Tue Feb  1 14:16:42 2022,22.0,41.0
Tue Feb  1 14:16:44 2022,21.9,40.0
Tue Feb  1 14:16:46 2022,22.0,41.0
Tue Feb  1 14:16:48 2022,22.0,41.0
Tue Feb  1 14:16:50 2022,22.0,41.0
Tue Feb  1 14:16:52 2022,22.0,41.0
Tue Feb  1 14:16:54 2022,22.0,41.0
Tue Feb  1 14:16:56 2022,22.0,41.0
Tue Feb  1 14:16:58 2022,22.0,41.0
Tue Feb  1 14:17:00 2022,22.0,41.0
Tue Feb  1 14:17:02 2022,22.0,41.0
Tue Feb  1 14:17:04 2022,22.0,41.0
Tue Feb  1 14:17:06 2022,22.0,41.0
Tue Feb  1 14:17:08 2022,22.0,41.0
Tue Feb  1 14:17:10 2022,22.0,41.0
